symbol
NUE
BIIB
AFRM
REXR
DPZ
D
CROX
BX
RBRK
BBY
PAYC
REGN
UHAL
LSTR
AWI
MRK
HEI
AJG
AIT
AYI
CR
CTSH
KO
MSTR
AGNC
MAT
CNP
PSA
OC
PNC
HBAN
CRH
IAC
MPWR
DT
SNPS
TRU
ABNB
ROIV
SNDK
CCK
PLD
FCN
CBRE
CPNG
WST
ROP
FAF
AXTA
GAP
