date,symbol,side,qty,price,commission,slippage_bps,fill_model,entry_score,entry_tag
2025-04-23,DPZ,BUY,20,486.378633,1.0,1.0,next_open,0.0020186992775939037,donchian
2025-04-25,CNP,BUY,264,37.853785,1.0,1.0,next_open,0.0011341256151537063,donchian
2025-04-25,ROIV,BUY,916,10.911091,1.0,1.0,next_open,-0.0001234732872435182,donchian
2025-04-28,RBRK,BUY,144,69.316931,1.0,1.0,next_open,0.005794906488205583,donchian
2025-04-28,MSTR,BUY,26,373.327329,1.0,1.0,next_open,-0.003469853091407172,donchian
2025-04-30,CCK,BUY,104,97.119711,1.0,1.0,next_open,0.006507953778112357,donchian
2025-04-30,AWI,BUY,69,144.83448199999998,1.0,1.0,next_open,0.00032630000730142104,donchian
2025-04-30,AIT,BUY,42,239.333931,1.0,1.0,next_open,0.00012316673092208763,donchian
2025-04-30,AFRM,BUY,211,47.66476599999999,1.0,1.0,next_open,9.95148803531743e-05,donchian
2025-04-30,CR,BUY,64,155.74557299999998,1.0,1.0,next_open,4.2524491993907306e-05,donchian
2025-05-08,AIT,SELL,42,220.17798,1.0,1.0,next_open,,
2025-05-12,AFRM,SELL,211,49.9700025,1.0,1.0,next_open,,
2025-05-12,CNP,SELL,264,37.156284,1.0,1.0,next_open,,
2025-05-12,ROIV,SELL,916,10.638936000000001,1.0,1.0,next_open,,
2025-05-12,PLD,BUY,91,110.961095,1.0,1.0,next_open,-0.00035006935896709964,donchian
2025-05-13,PAYC,BUY,40,258.0258,1.0,1.0,next_open,0.0038127169972831092,donchian
2025-05-13,CROX,BUY,86,120.012,1.0,1.0,next_open,0.0021117698479888305,donchian
2025-05-27,CROX,SELL,86,109.959003,1.0,1.0,next_open,,
2025-05-27,MSTR,SELL,26,381.0768885,1.0,1.0,next_open,,
2025-05-28,CPNG,BUY,366,28.412841,1.0,1.0,next_open,0.005090607739983891,donchian
2025-05-29,HEI,BUY,35,296.0296,1.0,1.0,next_open,0.007053161934898622,donchian
2025-05-30,DPZ,SELL,20,473.05269000000004,1.0,1.0,next_open,,
2025-05-30,BIIB,BUY,78,132.59825850000001,1.0,1.0,next_open,-0.001906528119681636,donchian
2025-06-03,CCK,SELL,104,96.650334,1.0,1.0,next_open,,
2025-06-03,AJG,BUY,29,349.684965,1.0,1.0,next_open,0.00018249006578547236,donchian
2025-06-06,AJG,SELL,29,328.427154,1.0,1.0,next_open,,
2025-06-06,DT,BUY,187,55.365536,1.0,1.0,next_open,0.00019774176256188126,donchian
2025-06-11,RBRK,SELL,144,87.541245,1.0,1.0,next_open,,
2025-06-11,AYI,BUY,37,276.957693,1.0,1.0,next_open,-0.00012733444752256108,donchian
2025-06-12,PAYC,SELL,40,253.584639,1.0,1.0,next_open,,
2025-06-12,AFRM,BUY,164,62.20622,1.0,1.0,next_open,0.004035328292057876,donchian
2025-06-18,BIIB,SELL,78,127.04729400000001,1.0,1.0,next_open,,
2025-06-18,PLD,SELL,91,104.9895,1.0,1.0,next_open,,
2025-06-18,KO,BUY,143,70.007,1.0,1.0,next_open,1.722593994852133,mean_reversion
2025-06-20,CCK,BUY,98,103.10030900000001,1.0,1.0,next_open,0.0006778576329782327,donchian
2025-06-24,KO,SELL,143,69.93800549999999,1.0,1.0,next_open,,
2025-06-24,CBRE,BUY,73,139.503949,1.0,1.0,next_open,0.0008520200345605001,donchian
2025-07-11,HEI,SELL,35,312.708726,1.0,1.0,next_open,,
2025-07-11,DT,SELL,187,52.69473,1.0,1.0,next_open,,
2025-07-11,MSTR,BUY,24,430.583054,1.0,1.0,next_open,0.003909217416098537,donchian
2025-07-11,SNPS,BUY,18,564.026397,1.0,1.0,next_open,0.002934278839763961,donchian
2025-07-14,AFRM,SELL,164,62.253774,1.0,1.0,next_open,,
2025-07-14,REGN,BUY,18,566.15661,1.0,1.0,next_open,-0.0004626803337110995,donchian
2025-07-16,AYI,SELL,37,288.211176,1.0,1.0,next_open,,
2025-07-16,CBRE,SELL,73,137.936205,1.0,1.0,next_open,,
2025-07-16,HBAN,BUY,624,16.651664999999998,1.0,1.0,next_open,2.2190431323817137,mean_reversion
2025-07-16,MAT,BUY,532,19.531953,1.0,1.0,next_open,1.7239360102358035,mean_reversion
2025-07-18,HBAN,SELL,624,16.918308000000003,1.0,1.0,next_open,,
2025-07-18,BX,BUY,60,173.597358,1.0,1.0,next_open,0.0031334437132667873,donchian
2025-07-22,MAT,SELL,532,19.948005,1.0,1.0,next_open,,
2025-07-22,CCK,SELL,98,108.729126,1.0,1.0,next_open,,
